"config_num","exposure_mode","flash_mode","color_mode","width","height","whitebalance_mode","zoom","power","energy","radio","duration","quality"
"38","auto","auto","RGB12","1280","960","auto","56","1023.501837","10.8792514","bluetooth","53.177","14.3062"
"39","auto","auto","RGB12","1280","960","auto","64","1027.649099","10.4953178","bluetooth","51.143","16.3311"
"40","auto","auto","RGB12","1280","960","auto","72","1023.438647","10.0329458","bluetooth","49.021","19.747"
"41","auto","auto","RGB12","1280","960","cloudy","0","1023.958267","13.3233916","bluetooth","65.264","14.2414"
"42","auto","auto","RGB12","1280","960","cloudy","8","1024.183797","13.2384324","bluetooth","64.643","10.9742"
"43","auto","auto","RGB12","1280","960","cloudy","16","1034.562342","12.9430298","bluetooth","62.71","0"
"44","auto","auto","RGB12","1280","960","cloudy","24","1033.398889","12.3520748","bluetooth","59.866","11.9414"
"45","auto","auto","RGB12","1280","960","cloudy","32","1033.196418","12.116473","bluetooth","58.564","13.5299"
"46","auto","auto","RGB12","1280","960","cloudy","40","1031.832675","11.4465084","bluetooth","55.49","15.6422"
"47","auto","auto","RGB12","1280","960","cloudy","48","1099.613682","11.8037332","bluetooth","53.667","13.6909"
"48","auto","auto","RGB12","1280","960","cloudy","56","1064.556767","10.9434104","bluetooth","51.504","13.2865"
"49","auto","auto","RGB12","1280","960","cloudy","64","1025.057723","10.0403306","bluetooth","49.031","14.6331"
"50","auto","auto","RGB12","1280","960","cloudy","72","1025.06399","9.7120648","bluetooth","47.398","15.9138"
"51","center","auto","RGB12","1280","960","daylight","0","1033.398911","13.3946796","bluetooth","64.863","18.7029"
"52","center","auto","RGB12","1280","960","daylight","8","1020.314668","13.2991694","bluetooth","65.194","12.5398"
"53","center","auto","RGB12","1280","960","daylight","16","1035.417989","13.1454186","bluetooth","63.552","11.4061"
"54","center","auto","RGB12","1280","960","daylight","24","1037.829825","12.7368732","bluetooth","61.688","13.1279"
"55","center","auto","RGB12","1280","960","daylight","32","1015.691757","12.9321028","bluetooth","63.651","15.7929"
"56","center","auto","RGB12","1280","960","daylight","40","1029.15115","11.6979916","bluetooth","56.912","20.8231"
"57","center","auto","RGB12","1280","960","daylight","48","1026.591822","10.966079","bluetooth","53.557","15.7301"
"58","center","auto","RGB12","1280","960","daylight","56","1027.864807","10.7968638","bluetooth","52.596","14.3093"
"59","center","auto","RGB12","1280","960","daylight","64","1032.526457","10.513479","bluetooth","50.873","16.2879"
"60","center","auto","RGB12","1280","960","daylight","72","1029.409765","10.1002004","bluetooth","49.02","19.9465"
"61","center","auto","RGB12","1280","960","fluorescent","0","1015.188456","13.3142666","bluetooth","65.534","22.5972"
"62","center","auto","RGB12","1280","960","fluorescent","8","1026.856134","13.3602548","bluetooth","65.103","13.1701"
"63","center","auto","RGB12","1280","960","fluorescent","16","1028.419163","13.0451884","bluetooth","63.781","11.9732"
"64","center","auto","RGB12","1280","960","fluorescent","24","1027.006219","12.5042176","bluetooth","60.898","13.2213"
"65","center","auto","RGB12","1280","960","fluorescent","32","1027.0946","11.9994082","bluetooth","58.704","16.1678"
"66","center","auto","RGB12","1280","960","fluorescent","40","1029.336681","11.6245928","bluetooth","56.542","23.5583"
"67","center","auto","RGB12","1280","960","fluorescent","48","1034.136457","11.1358718","bluetooth","53.887","15.4082"
"68","center","auto","RGB12","1280","960","fluorescent","56","1022.079129","10.7113652","bluetooth","52.476","14.103"
"69","center","auto","RGB12","1280","960","fluorescent","64","1026.785501","10.2939896","bluetooth","50.222","16.0201"
"70","center","auto","RGB12","1280","960","fluorescent","72","1025.602736","9.97019","bluetooth","48.67","22.1943"
"71","center","auto","RGB12","1280","960","tungsten","0","1013.446378","13.4105668","bluetooth","66.165","19.3351"
"72","center","auto","RGB12","1280","960","tungsten","8","1019.580605","13.3773522","bluetooth","65.644","12.6036"
"73","center","auto","RGB12","1280","960","tungsten","16","1075.466996","14.1856336","bluetooth","65.955","11.7075"
"74","center","auto","RGB12","1280","960","tungsten","24","1061.29904","13.2339776","bluetooth","62.43","12.046"
"75","center","auto","RGB12","1280","960","tungsten","32","1028.59574","12.2167056","bluetooth","59.435","14.1018"
"76","center","auto","RGB12","1280","960","tungsten","40","1029.958681","11.8141526","bluetooth","57.392","17.3652"
"77","center","auto","RGB12","1280","960","tungsten","48","1036.439671","11.3131566","bluetooth","54.599","13.5768"
"78","center","auto","RGB12","1280","960","tungsten","56","1028.23686","10.804372","bluetooth","52.656","12.9163"
"79","center","auto","RGB12","1280","960","tungsten","64","1020.290459","10.353031","bluetooth","50.753","14.1872"
"80","center","auto","RGB12","1280","960","tungsten","72","1022.378421","9.9778234","bluetooth","48.79","16.759"
"81","center","auto","RGB12","1280","960","auto","0","1021.63457","13.6389264","bluetooth","66.806","18.8084"
"82","center","auto","RGB12","1280","960","auto","8","1010.288402","13.3451934","bluetooth","66.165","12.2748"
"83","center","auto","RGB12","1280","960","auto","16","1031.401417","13.2617284","bluetooth","64.353","11.4941"
"84","center","auto","RGB12","1280","960","auto","24","1024.176034","12.6992704","bluetooth","62.009","13.1464"
"85","center","auto","RGB12","1280","960","auto","32","1028.253777","12.1945076","bluetooth","59.366","15.7798"
"86","center","auto","RGB12","1280","960","auto","40","1024.876333","11.667822","bluetooth","56.942","21.1548"
"87","center","auto","RGB12","1280","960","auto","48","1036.688953","11.2941056","bluetooth","54.538","15.7461"
"88","center","auto","RGB12","1280","960","auto","56","1029.398335","10.8458128","bluetooth","52.726","14.3966"
"89","center","auto","RGB12","1280","960","auto","64","1031.065909","10.347064","bluetooth","50.253","16.2631"
"90","center","auto","RGB12","1280","960","auto","72","1025.473027","10.0514678","bluetooth","49.05","20.2736"
"91","center","auto","RGB12","1280","960","cloudy","0","1025.423853","13.3135572","bluetooth","65.043","14.2369"
"92","center","auto","RGB12","1280","960","cloudy","8","1022.015591","13.1786222","bluetooth","64.453","10.9639"
"93","center","auto","RGB12","1280","960","cloudy","16","1026.977709","12.8624424","bluetooth","62.67","10.2484"
"94","center","auto","RGB12","1280","960","cloudy","24","1023.071696","12.2642672","bluetooth","60.006","11.9621"
"95","center","auto","RGB12","1280","960","cloudy","32","1028.270284","11.8616684","bluetooth","57.753","13.4788"
"96","center","auto","RGB12","1280","960","cloudy","40","1038.580153","11.569027","bluetooth","55.78","15.7424"
"97","center","auto","RGB12","1280","960","cloudy","48","1037.320015","10.9871142","bluetooth","53.157","13.6893"
"98","center","auto","RGB12","1280","960","cloudy","56","1026.927328","10.5037992","bluetooth","51.223","13.3093"
"99","center","auto","RGB12","1280","960","cloudy","64","1029.127175","10.0690038","bluetooth","48.88","14.5887"
"100","center","auto","RGB12","1280","960","cloudy","72","1050.188414","10.1231414","bluetooth","48.269","16.0106"
"101","backlight","auto","RGB12","1280","960","daylight","0","1026.338388","13.5123244","bluetooth","65.935","18.7882"
"102","backlight","auto","RGB12","1280","960","daylight","8","1018.845035","13.1449408","bluetooth","63.712","12.6289"
"103","backlight","auto","RGB12","1280","960","daylight","16","1032.371596","13.0738854","bluetooth","63.311","11.5748"
"104","backlight","auto","RGB12","1280","960","daylight","24","1037.462211","12.7237114","bluetooth","61.428","12.8368"
"105","backlight","auto","RGB12","1280","960","daylight","32","1029.42974","12.2506916","bluetooth","59.315","15.4295"
"106","backlight","auto","RGB12","1280","960","daylight","40","1029.417902","11.680703","bluetooth","56.712","19.7709"
"107","backlight","auto","RGB12","1280","960","daylight","48","1040.766189","11.2740094","bluetooth","54.178","15.1268"
"108","backlight","auto","RGB12","1280","960","daylight","56","1019.363824","10.6572252","bluetooth","52.315","12.7401"
"109","backlight","auto","RGB12","1280","960","daylight","64","1025.800013","10.437366","bluetooth","50.883","14.6419"
"110","backlight","auto","RGB12","1280","960","daylight","72","1031.738195","10.07795","bluetooth","48.941","17.1433"
"111","backlight","auto","RGB12","1280","960","fluorescent","0","1028.200309","13.5426604","bluetooth","65.915","22.6937"
"112","backlight","auto","RGB12","1280","960","fluorescent","8","1027.62079","13.3314504","bluetooth","64.953","13.267"
"113","backlight","auto","RGB12","1280","960","fluorescent","16","1024.153251","12.97896","bluetooth","63.532","12.2057"
"114","backlight","auto","RGB12","1280","960","fluorescent","24","1032.152818","12.6487044","bluetooth","61.308","12.5889"
"115","backlight","auto","RGB12","1280","960","fluorescent","32","1022.987606","11.9791836","bluetooth","58.574","15.1719"
"116","backlight","auto","RGB12","1280","960","fluorescent","40","1029.230391","11.6212566","bluetooth","56.502","19.4679"
"117","backlight","auto","RGB12","1280","960","fluorescent","48","1030.341452","11.1036506","bluetooth","53.967","15"
"118","backlight","auto","RGB12","1280","960","fluorescent","56","1026.385547","10.7382874","bluetooth","52.416","13.6087"
"119","backlight","auto","RGB12","1280","960","fluorescent","64","1032.77316","10.3674264","bluetooth","50.242","14.6051"
"120","backlight","auto","RGB12","1280","960","fluorescent","72","1019.02753","9.964395","bluetooth","48.88","17.7864"
"121","backlight","auto","RGB12","1280","960","tungsten","0","1070.573243","14.499228","bluetooth","67.808","19.3874"
"122","backlight","auto","RGB12","1280","960","tungsten","8","1062.96194","14.06269","bluetooth","66.185","12.7305"
"123","backlight","auto","RGB12","1280","960","tungsten","16","1024.178568","13.3017206","bluetooth","64.984","12.0672"
"124","backlight","auto","RGB12","1280","960","tungsten","24","1020.19972","12.6360824","bluetooth","61.799","11.5841"
"125","backlight","auto","RGB12","1280","960","tungsten","32","1031.915973","12.2962962","bluetooth","59.635","13.4809"
"126","backlight","auto","RGB12","1280","960","tungsten","40","1030.747041","11.6364066","bluetooth","56.782","16.8892"
"127","backlight","auto","RGB12","1280","960","tungsten","48","1027.753433","11.1628118","bluetooth","54.278","13.2549"
"128","backlight","auto","RGB12","1280","960","tungsten","56","1019.612432","10.8991528","bluetooth","53.507","12.4614"
"129","backlight","auto","RGB12","1280","960","tungsten","64","1024.467387","10.5138362","bluetooth","51.373","12.9874"
"130","backlight","auto","RGB12","1280","960","tungsten","72","1028.823749","10.1151382","bluetooth","49.16","15.3081"
"131","backlight","auto","RGB12","1280","960","auto","0","1026.520152","13.8624772","bluetooth","67.537","18.951"
"132","backlight","auto","RGB12","1280","960","auto","8","1015.381963","13.5032498","bluetooth","66.476","12.4087"
"133","backlight","auto","RGB12","1280","960","auto","16","1036.33574","13.342873","bluetooth","64.463","11.5493"
"134","backlight","auto","RGB12","1280","960","auto","24","1024.003471","12.6854008","bluetooth","61.969","12.8523"
"135","backlight","auto","RGB12","1280","960","auto","32","1013.417444","12.1071612","bluetooth","59.806","15.4136"
"136","backlight","auto","RGB12","1280","960","auto","40","1017.235223","11.4736426","bluetooth","56.481","19.8643"
"137","backlight","auto","RGB12","1280","960","auto","48","1029.114793","11.0834982","bluetooth","54.098","15.1217"
"138","backlight","auto","RGB12","1280","960","auto","56","1018.995145","10.835958","bluetooth","53.227","12.7358"
"139","backlight","auto","RGB12","1280","960","auto","64","1007.540267","10.2921336","bluetooth","51.153","15.1062"
"140","backlight","auto","RGB12","1280","960","auto","72","1018.540816","9.9950002","bluetooth","49.031","17.153"
"141","backlight","auto","RGB12","1280","960","cloudy","0","1009.501896","13.0902362","bluetooth","64.923","14.2291"
"142","backlight","auto","RGB12","1280","960","cloudy","8","1011.989616","13.0736842","bluetooth","64.543","11.0868"
"143","backlight","auto","RGB12","1280","960","cloudy","16","1021.132575","12.6203214","bluetooth","61.839","0"
"144","backlight","auto","RGB12","1280","960","cloudy","24","1018.289026","12.1165616","bluetooth","59.516","12.0265"
"145","backlight","auto","RGB12","1280","960","cloudy","32","1030.661187","11.953089","bluetooth","58.073","13.6407"
"146","backlight","auto","RGB12","1280","960","cloudy","40","1023.233529","11.2971986","bluetooth","55.279","15.8644"
"147","backlight","auto","RGB12","1280","960","cloudy","48","1018.495048","10.8048592","bluetooth","53.026","13.8264"
"148","backlight","auto","RGB12","1280","960","cloudy","56","1020.255422","10.5389134","bluetooth","51.895","12.6163"
"149","backlight","auto","RGB12","1280","960","cloudy","64","1017.163497","10.169878","bluetooth","50.012","13.5869"
"150","backlight","auto","RGB12","1280","960","cloudy","72","1011.615916","9.686538","bluetooth","47.839","15.3349"
"151","night","auto","RGB12","1280","960","daylight","0","975.759849","13.7457636","bluetooth","70.461","18.2877"
"152","night","auto","RGB12","1280","960","daylight","8","964.831096","13.4251612","bluetooth","69.64","12.5414"
"153","night","auto","RGB12","1280","960","daylight","16","970.869677","13.3200084","bluetooth","68.649","11.6089"
"154","night","auto","RGB12","1280","960","daylight","24","976.196264","13.1414778","bluetooth","67.317","13.0813"
"155","night","auto","RGB12","1280","960","daylight","32","974.106436","12.7693998","bluetooth","65.775","15.6851"
"156","night","auto","RGB12","1280","960","daylight","40","967.804879","12.1728584","bluetooth","62.86","21.2139"
"157","night","auto","RGB12","1280","960","daylight","48","1001.518172","12.5666644","bluetooth","62.79","15.5456"
"158","night","auto","RGB12","1280","960","daylight","56","975.219701","11.1651126","bluetooth","57.333","14.3787"
"159","night","auto","RGB12","1280","960","daylight","64","965.461687","11.0172166","bluetooth","57.022","16.1484"
"160","night","auto","RGB12","1280","960","daylight","72","973.676795","10.5417114","bluetooth","54.208","19.7007"
"161","night","auto","RGB12","1280","960","fluorescent","0","970.371829","13.8719222","bluetooth","71.403","21.2889"
"162","night","auto","RGB12","1280","960","fluorescent","8","962.818456","13.580334","bluetooth","70.611","13.206"
"163","night","auto","RGB12","1280","960","fluorescent","16","975.304137","13.6039384","bluetooth","69.721","12.1267"
"164","night","auto","RGB12","1280","960","fluorescent","24","976.555573","13.0110168","bluetooth","66.626","12.974"
"165","night","auto","RGB12","1280","960","fluorescent","32","973.767335","12.2746794","bluetooth","63.071","15.7947"
"166","night","auto","RGB12","1280","960","fluorescent","40","1032.625253","12.8420218","bluetooth","62.24","22.2054"
"167","night","auto","RGB12","1280","960","fluorescent","48","1029.283933","12.190814","bluetooth","59.265","15.5996"
"168","night","auto","RGB12","1280","960","fluorescent","56","981.328143","11.2988096","bluetooth","57.653","14.6836"
"169","night","auto","RGB12","1280","960","fluorescent","64","973.334848","10.7459402","bluetooth","55.39","16.6544"
"170","night","auto","RGB12","1280","960","fluorescent","72","974.064856","10.3623188","bluetooth","53.136","20.1638"
"171","night","auto","RGB12","1280","960","tungsten","0","983.758012","14.0541736","bluetooth","71.542","18.34"
"172","night","auto","RGB12","1280","960","tungsten","8","967.907955","13.5775328","bluetooth","70.251","12.7656"
"173","night","auto","RGB12","1280","960","tungsten","16","967.265126","13.5927954","bluetooth","70.271","11.9555"
"174","night","auto","RGB12","1280","960","tungsten","24","977.206018","13.461599","bluetooth","68.889","12.0738"
"175","night","auto","RGB12","1280","960","tungsten","32","987.819343","12.959262","bluetooth","65.794","14.104"
"176","night","auto","RGB12","1280","960","tungsten","40","982.056182","12.0486458","bluetooth","61.518","17.5642"
"177","night","auto","RGB12","1280","960","tungsten","48","980.260087","11.532283","bluetooth","58.905","13.8703"
"178","night","auto","RGB12","1280","960","tungsten","56","973.000114","11.2368854","bluetooth","57.833","13.1517"
"179","night","auto","RGB12","1280","960","tungsten","64","973.282015","10.993592","bluetooth","56.572","14.4379"
"180","night","auto","RGB12","1280","960","tungsten","72","983.849632","10.5773508","bluetooth","53.797","17.2278"
"181","night","auto","RGB12","1280","960","auto","0","974.254183","13.7785672","bluetooth","70.822","17.602"
"182","night","auto","RGB12","1280","960","auto","8","976.029294","13.7204596","bluetooth","70.392","12.297"
"183","night","auto","RGB12","1280","960","auto","16","967.724034","13.2862538","bluetooth","68.699","11.7047"
"184","night","auto","RGB12","1280","960","auto","24","978.843762","13.0027952","bluetooth","66.486","13.093"
"185","night","auto","RGB12","1280","960","auto","32","1013.474383","13.0648678","bluetooth","64.533","15.6759"
"186","night","auto","RGB12","1280","960","auto","40","980.971795","12.2713944","bluetooth","62.5","21.2425"
"187","night","auto","RGB12","1280","960","auto","48","996.31292","11.9753828","bluetooth","60.087","15.55"
"188","night","auto","RGB12","1280","960","auto","56","965.564388","11.2750708","bluetooth","58.374","14.387"
"189","night","auto","RGB12","1280","960","auto","64","984.866887","11.2227504","bluetooth","57.042","16.0945"
"190","night","auto","RGB12","1280","960","auto","72","953.425971","10.519143","bluetooth","55.159","19.6676"
"191","night","auto","RGB12","1280","960","cloudy","0","983.344775","13.7659244","bluetooth","70.081","13.9411"
"192","night","auto","RGB12","1280","960","cloudy","8","971.069808","13.3484146","bluetooth","68.899","11.0964"
"193","night","auto","RGB12","1280","960","cloudy","16","971.271741","12.8767158","bluetooth","66.296","10.2816"
"194","night","auto","RGB12","1280","960","cloudy","24","982.550095","12.6163966","bluetooth","64.382","11.9444"
"195","night","auto","RGB12","1280","960","cloudy","32","979.902239","12.2654732","bluetooth","62.469","13.4942"
"196","night","auto","RGB12","1280","960","cloudy","40","984.183961","11.7487338","bluetooth","59.576","15.8698"
"197","night","auto","RGB12","1280","960","cloudy","48","982.67112","11.220785","bluetooth","57.172","13.8925"
"198","night","auto","RGB12","1280","960","cloudy","56","982.09749","11.049281","bluetooth","56.301","13.2483"
"199","night","auto","RGB12","1280","960","cloudy","64","982.469043","10.7110542","bluetooth","54.548","14.4308"
"200","night","auto","RGB12","1280","960","cloudy","72","988.884324","10.2721066","bluetooth","52.135","15.9117"
"201","auto","none","RGB12","1280","960","daylight","0","970.776155","12.212666","bluetooth","62.941","15.5728"
"202","auto","none","RGB12","1280","960","daylight","8","962.482201","11.7979572","bluetooth","61.328","11.7649"
"203","auto","none","RGB12","1280","960","daylight","16","967.065855","11.2637772","bluetooth","58.264","10.2725"
"204","auto","none","RGB12","1280","960","daylight","24","958.50595","10.6383666","bluetooth","55.54","11.548"
"205","auto","none","RGB12","1280","960","daylight","32","1014.358623","10.9103684","bluetooth","53.787","12.8692"
"206","auto","none","RGB12","1280","960","daylight","40","960.951361","10.0217798","bluetooth","52.175","14.9897"
"207","auto","none","RGB12","1280","960","daylight","48","957.048969","9.1660726","bluetooth","47.959","13.2223"
"208","auto","none","RGB12","1280","960","daylight","56","950.66722","9.0337836","bluetooth","47.548","12.6124"
"209","auto","none","RGB12","1280","960","daylight","64","953.896048","8.7938176","bluetooth","46.196","13.726"
"210","auto","none","RGB12","1280","960","daylight","72","941.244055","8.0559172","bluetooth","42.832","14.9851"
"211","auto","none","RGB12","1280","960","fluorescent","0","969.156139","12.4588048","bluetooth","64.252","19.4731"
"212","auto","none","RGB12","1280","960","fluorescent","8","966.725396","11.9295702","bluetooth","61.759","12.9455"
"213","auto","none","RGB12","1280","960","fluorescent","16","968.664551","11.7197284","bluetooth","60.577","11.4109"
"214","auto","none","RGB12","1280","960","fluorescent","24","967.738095","11.3776844","bluetooth","58.805","12.5935"
"215","auto","none","RGB12","1280","960","fluorescent","32","966.362119","11.0013436","bluetooth","56.932","14.7347"
"216","auto","none","RGB12","1280","960","fluorescent","40","965.487477","10.4511232","bluetooth","54.198","19.3473"
"217","auto","none","RGB12","1280","960","fluorescent","48","964.458743","10.0582582","bluetooth","52.175","14.9512"
"218","auto","none","RGB12","1280","960","fluorescent","56","953.920185","9.5849226","bluetooth","50.302","13.7897"
"219","auto","none","RGB12","1280","960","fluorescent","64","958.309874","9.2840262","bluetooth","48.499","15.4288"
"220","auto","none","RGB12","1280","960","fluorescent","72","950.202374","8.8927646","bluetooth","46.807","18.1719"
"221","auto","none","RGB12","1280","960","tungsten","0","968.087769","12.5035816","bluetooth","64.633","24.6022"
"222","auto","none","RGB12","1280","960","tungsten","8","966.852043","11.984101","bluetooth","62.069","13.8595"
"223","auto","none","RGB12","1280","960","tungsten","16","968.761084","11.8165294","bluetooth","61.068","12.325"
"224","auto","none","RGB12","1280","960","tungsten","24","967.603454","11.38831","bluetooth","59.115","12.9048"
"225","auto","none","RGB12","1280","960","tungsten","32","970.183569","10.8942756","bluetooth","56.16","15.3764"
"226","auto","none","RGB12","1280","960","tungsten","40","960.372151","10.3885314","bluetooth","54.078","22.5277"
"227","auto","none","RGB12","1280","960","tungsten","48","958.582933","9.9491822","bluetooth","51.935","15.0694"
"228","auto","none","RGB12","1280","960","tungsten","56","959.847333","9.7572478","bluetooth","50.933","14.6464"
"229","auto","none","RGB12","1280","960","tungsten","64","966.113339","9.572824","bluetooth","49.621","16.8603"
"230","auto","none","RGB12","1280","960","tungsten","72","1043.162942","9.808549","bluetooth","47.088","22.0387"
"231","auto","none","RGB12","1280","960","auto","0","977.373619","12.1701898","bluetooth","62.39","22.2822"
"232","auto","none","RGB12","1280","960","auto","8","966.995897","11.9508632","bluetooth","61.839","13.6968"
"233","auto","none","RGB12","1280","960","auto","16","966.053984","11.681355","bluetooth","60.707","12.3599"
"234","auto","none","RGB12","1280","960","auto","24","963.720971","10.6973952","bluetooth","55.55","11.5382"
"235","auto","none","RGB12","1280","960","auto","32","964.890168","10.2629796","bluetooth","53.187","12.7613"
"236","auto","none","RGB12","1280","960","auto","40","957.659123","9.868188","bluetooth","51.554","14.9012"
"237","auto","none","RGB12","1280","960","auto","48","956.392669","9.3151034","bluetooth","48.76","13.1627"
"238","auto","none","RGB12","1280","960","auto","56","949.311444","8.9585478","bluetooth","47.248","12.626"
"239","auto","none","RGB12","1280","960","auto","64","946.546168","8.6091948","bluetooth","45.525","13.6859"
"240","auto","none","RGB12","1280","960","auto","72","952.63567","8.779172","bluetooth","46.066","14.9165"
"241","auto","none","RGB12","1280","960","cloudy","0","970.873372","12.398137","bluetooth","63.912","11.9838"
"242","auto","none","RGB12","1280","960","cloudy","8","966.758515","11.7775632","bluetooth","60.867","0"
"243","auto","none","RGB12","1280","960","cloudy","16","961.713461","11.10581","bluetooth","57.773","0"
"244","auto","none","RGB12","1280","960","cloudy","24","959.798046","10.5399532","bluetooth","54.959","0"
"245","auto","none","RGB12","1280","960","cloudy","32","960.071487","10.1159734","bluetooth","52.726","10.4176"
"246","auto","none","RGB12","1280","960","cloudy","40","957.902985","9.6135672","bluetooth","50.202","11.1522"
"247","auto","none","RGB12","1280","960","cloudy","48","957.00066","9.3063324","bluetooth","48.74","10.2999"
"248","auto","none","RGB12","1280","960","cloudy","56","1006.22752","9.478099","bluetooth","47.158","10.1829"
"249","auto","none","RGB12","1280","960","cloudy","64","947.414702","8.5919186","bluetooth","45.355","10.7064"
"250","auto","none","RGB12","1280","960","cloudy","72","948.850643","8.291574","bluetooth","43.723","11.2469"
"251","center","none","RGB12","1280","960","daylight","0","969.75403","12.2605604","bluetooth","63.241","15.5629"
"252","center","none","RGB12","1280","960","daylight","8","1022.59534","12.6904324","bluetooth","62.06","11.7145"
"253","center","none","RGB12","1280","960","daylight","16","949.482608","11.2806304","bluetooth","59.446","10.2674"
"254","center","none","RGB12","1280","960","daylight","24","961.314328","10.6569758","bluetooth","55.469","11.5876"
"255","center","none","RGB12","1280","960","daylight","32","955.061378","10.2970026","bluetooth","53.958","12.7993"
"256","center","none","RGB12","1280","960","daylight","40","956.692283","9.5787674","bluetooth","50.082","14.9454"
"257","center","none","RGB12","1280","960","daylight","48","954.273344","9.1182102","bluetooth","47.809","13.1835"
"258","center","none","RGB12","1280","960","daylight","56","949.937889","8.9488102","bluetooth","47.218","12.6156"
"259","center","none","RGB12","1280","960","daylight","64","947.055515","8.5983916","bluetooth","45.405","13.7267"
"260","center","none","RGB12","1280","960","daylight","72","945.498613","8.4215742","bluetooth","44.504","14.8823"
"261","center","none","RGB12","1280","960","fluorescent","0","969.558362","12.3900426","bluetooth","63.922","19.3585"
"262","center","none","RGB12","1280","960","fluorescent","8","965.727709","11.9062094","bluetooth","61.689","12.9275"
"263","center","none","RGB12","1280","960","fluorescent","16","968.084885","11.7164516","bluetooth","60.527","11.4117"
"264","center","none","RGB12","1280","960","fluorescent","24","968.047606","11.3441238","bluetooth","58.765","12.5865"
"265","center","none","RGB12","1280","960","fluorescent","32","963.159231","10.9462826","bluetooth","56.832","14.6843"
